top - 07:16:45 up 45 min,  1 user,  load average: 0.07, 0.09, 0.10
Tasks: 235 total,   2 running, 233 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.9 us,  0.0 sy,  0.0 ni, 99.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3915.9 total,    470.2 free,   1875.4 used,   1663.6 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   2040.4 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2341 user      20   0  462856   9012   8116 S   0.0   0.2   0:00.00 goa-ide+
   2359 user      20   0  236768   7012   6500 S   0.0   0.2   0:00.63 ibus-en+
   2397 user      20   0  230232   5688   5304 S   0.0   0.1   0:00.01 dconf-s+
   2403 user      39  19  734568  26428  18384 S   0.0   0.7   0:00.08 tracker+
   2411 user      20   0 2523328  27008  22256 S   0.0   0.7   0:00.02 gjs
   2425 user      20   0  428472  28364  21944 S   0.0   0.7   0:00.12 snapd-d+
   2430 user      20   0  535708   8896   7744 S   0.0   0.2   0:00.02 gvfsd-t+
   2431 user      20   0  236304   6268   5884 S   0.0   0.2   0:00.00 gvfsd-m+
   2433 user      20   0  890848  24172  20972 S   0.0   0.6   0:00.03 evoluti+
   2478 user      20   0 2941476  62560  47024 S   0.0   1.6   0:00.67 gjs
   2529 user      20   0  825440  29792  26080 S   0.0   0.7   0:00.02 evoluti+
   2596 user      20   0  554140  14560  11808 S   0.0   0.4   0:00.14 xdg-des+
   2601 user      20   0  909140  41068  31092 S   0.0   1.0   0:00.26 xdg-des+
   2619 user      20   0  417748  25960  19304 S   0.0   0.6   0:00.09 xdg-des+
   2651 user      20   0  629408  60380  43924 S   0.0   1.5   0:09.61 gnome-t+
   2658 user      20   0   12712   6604   3788 S   0.0   0.2   0:00.15 bash
   2778 user      20   0 3278908 545396 184400 S   0.0  13.6   1:06.76 firefox
   2853 user      20   0   21124   2744   2456 S   0.0   0.1   0:00.00 crashhe+
   2956 user      20   0  298916  33932  25100 S   0.0   0.8   0:00.02 forkser+
   2961 user      20   0  313312  39276  29584 S   0.0   1.0   0:00.00 Socket +
   2975 user      20   0 2468152  98380  68524 S   0.0   2.5   0:00.40 WebExte+
   2986 user      20   0  450968  57076  44056 S   0.0   1.4   0:00.07 RDD Pro+
   3013 user      20   0 2489260 132276  84328 S   0.0   3.3   0:01.71 Privile+
   3052 user      20   0 1839804  24732  16364 S   0.0   0.6   0:00.07 snap
   3521 user      20   0  450448  55732  42968 S   0.0   1.4   0:00.05 Utility+
   3528 user      20   0 2628092 235916  90572 S   0.0   5.9   0:30.78 Isolate+
   3791 user      20   0  246668  68776  55360 S   0.0   1.7   0:00.12 Xwayland
   3795 user      20   0  626512  80032  64120 S   0.0   2.0   0:00.12 gsd-xse+
   3817 user      20   0  267152  24644  18004 S   0.0   0.6   0:00.05 ibus-x11
   3821 user      20   0 1398584  98308  73732 S   0.0   2.5   0:00.12 mutter-+
   3852 user      20   0  568720  31356  23804 S   0.0   0.8   0:00.13 update-+
   3979 user      20   0 2523972 404000 123476 S   0.0  10.1   0:20.18 nautilus
   4009 user      20   0  388228   8232   7464 S   0.0   0.2   0:00.00 gvfsd-r+
